X,Y,Z,N,E,Z2,Latitude,Longitude,Time,Speed,Course,Accuracy
0.02666,0.02559,-1.02744,0.18438,0.03768,-1.01073,51.246487274766,22.5154056865722,"2015-03-31 12:21:26,868",0,0,0
0.04033,0.09395,-1.06748,0.1304,0.01828,-1.06425,51.246487274766,22.5154056865722,"2015-03-31 12:21:26,965",0,0,0
0.05107,-0.04082,-1.24619,0.27568,0.09899,-1.21304,51.246487274766,22.5154056865722,"2015-03-31 12:21:27,064",0,0,0
-0.00068,-0.01934,-1.02158,0.22948,0.03772,-0.99495,51.246487274766,22.5154056865722,"2015-03-31 12:21:27,166",0,0,0
0.01787,0.01387,-1.02158,0.18759,0.03555,-1.00384,51.246487274766,22.5154056865722,"2015-03-31 12:21:27,265",0,0,0
0.04717,-0.02422,-1.12998,0.2295,0.08339,-1.10456,51.246487274766,22.5154056865722,"2015-03-31 12:21:27,365",0,0,0
0.00322,-0.00078,-0.91514,0.18801,0.02941,-0.89514,51.2464304454625,22.515328573063,"2015-03-31 12:21:27,462",0,0,0
-0.00557,-0.06133,-0.87217,0.2347,0.04931,-0.8408,51.2464304454625,22.515328573063,"2015-03-31 12:21:27,563",0,0,0
-0.0124,0.16328,-1.07822,0.08766,-0.05961,-1.08542,51.2464304454625,22.515328573063,"2015-03-31 12:21:27,665",0,0,0
-0.03486,-0.02129,-1.04795,0.25271,0.01191,-1.01777,51.2464304454625,22.515328573063,"2015-03-31 12:21:27,766",0,0,0
-0.03584,-0.0877,-1.04893,0.31235,0.04341,-1.00487,51.2464304454625,22.515328573063,"2015-03-31 12:21:27,865",0,0,0
0.09111,0.18379,-1.23838,0.0608,0.03142,-1.25339,51.2464304454625,22.515328573063,"2015-03-31 12:21:27,966",0,0,0
-0.03486,-0.04277,-1.06943,0.27765,0.02095,-1.03402,51.2464304454625,22.515328573063,"2015-03-31 12:21:28,065",0,0,0
0.06377,-0.15996,-0.94346,0.30374,0.15297,-0.89672,51.2464304454625,22.515328573063,"2015-03-31 12:21:28,167",0,0,0
-0.05342,-0.06035,-0.74619,0.23058,-0.00483,-0.71422,51.2464304454625,22.515328573063,"2015-03-31 12:21:28,267",0,0,0
0.05596,-0.05254,-1.08115,0.24512,0.09207,-1.05177,51.2464304454625,22.515328573063,"2015-03-31 12:21:28,367",0,0,0
0.07256,-0.00176,-0.92881,0.16453,0.08178,-0.91334,51.2463748734444,22.5152014195919,"2015-03-31 12:21:28,472",0,0,0
0.05303,0.0627,-1.03818,0.14227,0.03754,-1.03098,51.2463748734444,22.5152014195919,"2015-03-31 12:21:28,566",0,0,0
-0.00654,0.02559,-0.96104,0.18103,0.00128,-0.9442,51.2463748734444,22.5152014195919,"2015-03-31 12:21:28,667",0,0,0
-0.02607,-0.03301,-1.03232,0.25127,0.01163,-1.00209,51.2463748734444,22.5152014195919,"2015-03-31 12:21:28,767",0,0,0
-0.01826,-0.06035,-1.18076,0.29867,0.0343,-1.14359,51.2463748734444,22.5152014195919,"2015-03-31 12:21:28,867",0,0,0
-0.02607,-0.06035,-1.03428,0.27242,0.02653,-0.99957,51.2463748734444,22.5152014195919,"2015-03-31 12:21:28,967",0,0,0
0.10576,-0.08574,-0.95615,0.21845,0.15482,-0.92794,51.2463748734444,22.5152014195919,"2015-03-31 12:21:29,067",0,0,0
-0.06025,0.01484,-0.94053,0.20927,-0.03285,-0.91846,51.2463748734444,22.5152014195919,"2015-03-31 12:21:29,167",0,0,0
-0.01631,0.1252,-0.93076,0.09706,-0.04274,-0.93328,51.2463748734444,22.5152014195919,"2015-03-31 12:21:29,265",0,0,0
0.03447,0.22969,-0.9835,0.0005,-0.03921,-1.00979,51.2463748734444,22.5152014195919,"2015-03-31 12:21:29,367",0,0,0
0.03643,0.17695,-0.95615,0.04423,-0.01042,-0.97201,51.2463260069489,22.5150777027011,"2015-03-31 12:21:29,464",0,0,0
0.08916,0.24336,-1.00791,-0.02218,0.0081,-1.04043,51.2463260069489,22.5150777027011,"2015-03-31 12:21:29,564",0,0,0
-0.05146,0.11738,-0.83018,0.11399,-0.0599,-0.83008,51.2463260069489,22.5150777027011,"2015-03-31 12:21:29,663",0,0,0
-0.02119,0.12617,-0.92002,0.1148,-0.03173,-0.9212,51.2463260069489,22.5150777027011,"2015-03-31 12:21:29,77",0,0,0
0.02178,0.08613,-1.00303,0.15482,0.03324,-0.99443,51.2463260069489,22.5150777027011,"2015-03-31 12:21:29,87",0,0,0
0.02275,0.00508,-0.99424,0.22408,0.07161,-0.96629,51.2463260069489,22.5150777027011,"2015-03-31 12:21:29,97",0,0,0
-0.02119,-0.08086,-0.91416,0.2973,0.06549,-0.86603,51.2463260069489,22.5150777027011,"2015-03-31 12:21:30,07",0,0,0
-0.01338,0.0793,-0.78135,0.12325,-0.01208,-0.77565,51.2463260069489,22.5150777027011,"2015-03-31 12:21:30,17",0,0,0
-0.00068,-0.00859,-0.8458,0.20805,0.04216,-0.81877,51.2463260069489,22.5150777027011,"2015-03-31 12:21:30,27",0,0,0
-0.05049,0.01582,-0.84873,0.21228,-0.01417,-0.82334,51.2463260069489,22.5150777027011,"2015-03-31 12:21:30,37",0,0,0
-0.04463,-0.04961,-1.01279,0.30371,0.0286,-0.96806,51.2462748773396,22.5149565842003,"2015-03-31 12:21:30,465",0,0,0
-0.00459,-0.0125,-1.10947,0.27512,0.0485,-1.07381,51.2462748773396,22.5149565842003,"2015-03-31 12:21:30,563",0,0,0
0.04424,-0.01934,-1.15635,0.27002,0.09492,-1.12141,51.2462748773396,22.5149565842003,"2015-03-31 12:21:30,664",0,0,0
0.01006,0.02559,-1.11533,0.23878,0.04132,-1.08903,51.2462748773396,22.5149565842003,"2015-03-31 12:21:30,766",0,0,0
0.03154,0.00508,-0.96201,0.21165,0.06615,-0.93665,51.2462748773396,22.5149565842003,"2015-03-31 12:21:30,866",0,0,0
-0.08076,-0.06523,-0.58701,0.23181,-0.0147,-0.54901,51.2462748773396,22.5149565842003,"2015-03-31 12:21:30,966",0,0,0
-0.03486,0.0207,-1.09189,0.25385,0.00766,-1.06272,51.2462748773396,22.5149565842003,"2015-03-31 12:21:31,067",0,0,0
-0.0085,0.04512,-0.95127,0.1848,0.01132,-0.93421,51.2462748773396,22.5149565842003,"2015-03-31 12:21:31,167",0,0,0
-0.01338,-0.1043,-0.96201,0.3163,0.07317,-0.91166,51.2462748773396,22.5149565842003,"2015-03-31 12:21:31,267",0,0,0
0.03057,-0.02813,-0.86436,0.20972,0.07148,-0.83651,51.2462748773396,22.5149565842003,"2015-03-31 12:21:31,367",0,0,0
-0.00068,-0.02715,-1.0499,0.27109,0.0529,-1.01328,51.2462191376835,22.5148252397776,"2015-03-31 12:21:31,463",0,0,0
0.03643,0.06758,-0.80283,0.11397,0.03226,-0.79775,51.2462191376835,22.5148252397776,"2015-03-31 12:21:31,564",0,0,0
-0.0124,-0.05547,-1.08311,0.30479,0.05806,-1.03927,51.2462191376835,22.5148252397776,"2015-03-31 12:21:31,664",0,0,0
-0.01631,-0.05156,-0.7999,0.2363,0.04036,-0.76505,51.2462191376835,22.5148252397776,"2015-03-31 12:21:31,764",0,0,0
-0.09248,-0.17754,-0.67881,0.35323,0.02876,-0.61258,51.2462191376835,22.5148252397776,"2015-03-31 12:21:31,863",0,0,0
0.14971,0.06953,-0.85166,0.07614,0.13103,-0.85417,51.2462191376835,22.5148252397776,"2015-03-31 12:21:31,965",0,0,0
0.02666,0.21797,-1.53037,0.16324,-0.02447,-1.53721,51.2462191376835,22.5148252397776,"2015-03-31 12:21:32,071",0,0,0
0.15654,0.14082,-0.97471,0.03672,0.09918,-0.99157,51.2462191376835,22.5148252397776,"2015-03-31 12:21:32,169",0,0,0
0.05986,0.01387,-1.09678,0.21436,0.076,-1.0747,51.2462191376835,22.5148252397776,"2015-03-31 12:21:32,267",0,0,0
0.02959,-0.07598,-0.8624,0.25071,0.0807,-0.82524,51.2462191376835,22.5148252397776,"2015-03-31 12:21:32,366",0,0,0
0.03643,-0.03398,-1.03818,0.25436,0.07352,-1.00509,51.2461534235626,22.5147031154484,"2015-03-31 12:21:32,467",0,0,0
0.02178,-0.00371,-1.03232,0.23829,0.04596,-1.00364,51.2461534235626,22.5147031154484,"2015-03-31 12:21:32,565",0,0,0
0.0208,-0.01836,-0.92783,0.22511,0.04767,-0.89928,51.2461534235626,22.5147031154484,"2015-03-31 12:21:32,667",0,0,0
0.04814,0.01484,-1.12705,0.23137,0.06017,-1.10256,51.2461534235626,22.5147031154484,"2015-03-31 12:21:32,767",0,0,0
-0.04561,0.09395,-1.07725,0.1945,-0.0595,-1.06301,51.2461534235626,22.5147031154484,"2015-03-31 12:21:32,867",0,0,0
-0.1042,-0.06426,-0.93369,0.32072,-0.0438,-0.8843,51.2461534235626,22.5147031154484,"2015-03-31 12:21:32,964",0,0,0
