X,Y,Z,N,E,Z2,Latitude,Longitude,Time,Speed,Course,Accuracy
0.00166,0.0002,-1.00566,-0.00884,0.01254,-1.00555,51.2728665489703,22.5443017110229,"2015-01-24 09:29:06,053",0,0,0
0.00264,0.00703,-1.00957,-0.00016,0.01781,-1.00944,51.2728665489703,22.5443017110229,"2015-01-24 09:29:06,176",0,0,0
-0.00029,-0.00469,-0.99395,-0.00933,0.00984,-0.99386,51.2728665489703,22.5443017110229,"2015-01-24 09:29:06,187",0,0,0
0.00557,-0.00078,-0.99395,-0.00222,0.01011,-0.99391,51.2728665489703,22.5443017110229,"2015-01-24 09:29:06,195",0,0,0
0.00947,0.01289,-1.00566,0.0089,0.01904,-1.00557,51.2728665489703,22.5443017110229,"2015-01-24 09:29:06,204",0,0,0
0.00752,0.00117,-0.9998,0.00047,0.01062,-0.99978,51.2728665489703,22.5443017110229,"2015-01-24 09:29:06,212",0,0,0
-0.00029,-0.00078,-0.99102,-0.00648,0.01365,-0.9909,51.2728665489703,22.5443017110229,"2015-01-24 09:29:06,315",0,0,0
0.0124,0.01484,-1.01543,0.01173,0.01969,-1.01536,51.2728665489703,22.5443017110229,"2015-01-24 09:29:06,414",0,0,0
0.00264,0.0041,-0.99785,-0.0013,0.01607,-0.99773,51.2728665489703,22.5443017110229,"2015-01-24 09:29:06,501",0,0,0
0.00752,-0.00664,-0.99297,-0.00401,0.00507,-0.993,51.2728665489703,22.5443017110229,"2015-01-24 09:29:06,589",0,0,0
0.0085,0.00703,-1.00273,0.00499,0.01766,-1.00263,51.2728665489703,22.5443017110229,"2015-01-24 09:29:06,678",0,0,0
0.00264,-0.01055,-0.99492,-0.00925,0.00606,-0.99492,51.2728665489703,22.5443017110229,"2015-01-24 09:29:06,755",0,0,0
-0.00127,0.0002,-0.99883,-0.0066,0.01718,-0.99866,51.2728509586304,22.5442841090262,"2015-01-24 09:29:06,856",0,0,0
0.00361,0.00898,-1.00078,0.00214,0.02019,-1.00062,51.2728509586304,22.5442841090262,"2015-01-24 09:29:06,954",0,0,0
0.00459,0.01191,-0.99102,0.00425,0.01888,-0.99091,51.2728509586304,22.5442841090262,"2015-01-24 09:29:07,052",0,0,0
-0.00615,0.01484,-0.99785,-0.00318,0.02506,-0.99766,51.2728509586304,22.5442841090262,"2015-01-24 09:29:07,153",0,0,0
0.00361,0.01777,-1.01348,0.00751,0.02103,-1.01339,51.2728509586304,22.5442841090262,"2015-01-24 09:29:07,253",0,0,0
0.0085,0.00703,-0.98906,0.00301,0.00739,-0.98909,51.2728509586304,22.5442841090262,"2015-01-24 09:29:07,359",0,0,0
-0.00908,-0.0252,-0.9959,-0.02803,-0.00089,-0.99586,51.2728509586304,22.5442841090262,"2015-01-24 09:29:07,459",0,0,0
0.0085,-0.03594,-0.98906,-0.01291,-0.01041,-0.98961,51.2728509586304,22.5442841090262,"2015-01-24 09:29:07,564",0,0,0
0.00068,-0.03008,-0.9959,-0.0111,0.00887,-0.99625,51.2728509586304,22.5442841090262,"2015-01-24 09:29:07,661",0,0,0
-0.01299,-0.04473,-1.00176,-0.02675,0.01112,-1.00242,51.2728509586304,22.5442841090262,"2015-01-24 09:29:07,752",0,0,0
-0.00713,-0.10039,-1.01934,-0.04655,-0.02662,-1.02289,51.2728509586304,22.5442841090262,"2015-01-24 09:29:07,853",0,0,0
0.0124,-0.07598,-0.99395,-0.00839,-0.00908,-0.99685,51.2728509586304,22.5442841090262,"2015-01-24 09:29:07,952",0,0,0
-0.02568,-0.10625,-0.99785,-0.04917,0.00088,-1.00262,51.2728509586304,22.5442841090262,"2015-01-24 09:29:08,055",0,0,0
-0.00029,-0.11016,-1.01836,-0.02205,-0.00849,-1.02403,51.2728509586304,22.5442841090262,"2015-01-24 09:29:08,153",0,0,0
0.0085,-0.09063,-1.0125,-0.00066,0.00587,-1.01657,51.2728509586304,22.5442841090262,"2015-01-24 09:29:08,253",0,0,0
0.00557,-0.11309,-1.03008,-0.01382,-0.00519,-1.03618,51.2728509586304,22.5442841090262,"2015-01-24 09:29:08,36",0,0,0
-0.00127,-0.09453,-1.01348,-0.00793,0.01564,-1.01773,51.2728509586304,22.5442841090262,"2015-01-24 09:29:08,465",0,0,0
0.00361,-0.1209,-1.02031,-0.01581,-0.0043,-1.02733,51.2728509586304,22.5442841090262,"2015-01-24 09:29:08,555",0,0,0
-0.00029,-0.10332,-1.01348,-0.00417,0.01801,-1.01856,51.2728509586304,22.5442841090262,"2015-01-24 09:29:08,654",0,0,0
-0.00029,-0.12383,-1.01738,-0.01114,0.00454,-1.02482,51.2728509586304,22.5442841090262,"2015-01-24 09:29:08,756",0,0,0
0.01338,-0.08477,-1.01934,0.02635,0.03176,-1.02211,51.2728509586304,22.5442841090262,"2015-01-24 09:29:08,852",0,0,0
-0.00127,-0.10527,-1.02227,0.00337,0.0247,-1.02737,51.2728509586304,22.5442841090262,"2015-01-24 09:29:08,954",0,0,0
0.01533,-0.10625,-1.01738,0.01566,0.01398,-1.02282,51.2728509586304,22.5442841090262,"2015-01-24 09:29:09,054",0,0,0
-0.01299,-0.15313,-0.9998,-0.03691,-0.00912,-1.01083,51.2728509586304,22.5442841090262,"2015-01-24 09:29:09,157",0,0,0
-0.00713,-0.14531,-0.99395,-0.02411,-0.00269,-1.00424,51.2728509586304,22.5442841090262,"2015-01-24 09:29:09,255",0,0,0
-0.00713,-0.10527,-1.02031,0.00628,0.03678,-1.02508,51.2728509586304,22.5442841090262,"2015-01-24 09:29:09,354",0,0,0
0.01143,-0.12676,-1.00176,0.00682,0.00619,-1.00977,51.2728509586304,22.5442841090262,"2015-01-24 09:29:09,456",0,0,0
0.01924,-0.11895,-1.01641,0.01966,0.01086,-1.02328,51.2728509586304,22.5442841090262,"2015-01-24 09:29:09,559",0,0,0
-0.01787,-0.1375,-0.99395,-0.02388,0.01609,-1.00316,51.2728509586304,22.5442841090262,"2015-01-24 09:29:09,659",0,0,0
0.01436,-0.14336,-1.00664,0.00014,-0.00653,-1.01688,51.2728509586304,22.5442841090262,"2015-01-24 09:29:09,764",0,0,0
0.01338,-0.11309,-1.01348,0.0189,0.01949,-1.01949,51.2728509586304,22.5442841090262,"2015-01-24 09:29:09,862",0,0,0
-0.00615,-0.10625,-1.00176,0.00648,0.03546,-1.00675,51.2728509586304,22.5442841090262,"2015-01-24 09:29:09,954",0,0,0
-0.01787,-0.15996,-1.00273,-0.03456,0.00016,-1.01498,51.2728509586304,22.5442841090262,"2015-01-24 09:29:10,055",0,0,0
0.00947,-0.15508,-0.9998,-0.00974,-0.01201,-1.01169,51.2728509586304,22.5442841090262,"2015-01-24 09:29:10,161",0,0,0
0.01631,-0.12969,-1.03008,0.01218,0.0087,-1.03823,51.2728509586304,22.5442841090262,"2015-01-24 09:29:10,271",0,0,0
0.01729,-0.12383,-0.99395,0.01316,0.00809,-1.00166,51.2728509586304,22.5442841090262,"2015-01-24 09:29:10,361",0,0,0
