X,Y,Z,N,E,Z2,Latitude,Longitude,Time,Speed,Course,Accuracy
0.01328,-0.0165,-0.91426,-0.14077,0.09204,-0.8989,51.2361709959805,22.4983620923013,"2015-03-31 13:37:03,938",0,0,0
0.00449,-0.00381,-0.92012,-0.12658,0.08956,-0.90698,51.2361709959805,22.4983620923013,"2015-03-31 13:37:03,999",0,0,0
0.01035,-0.01455,-0.90742,-0.13643,0.09199,-0.89256,51.2361709959805,22.4983620923013,"2015-03-31 13:37:04,007",0,0,0
0.00449,-0.00771,-0.91816,-0.12897,0.09218,-0.90442,51.2361709959805,22.4983620923013,"2015-03-31 13:37:04,013",0,0,0
0.01133,-0.01846,-0.91035,-0.14017,0.09441,-0.89479,51.2361709959805,22.4983620923013,"2015-03-31 13:37:04,018",0,0,0
0.00547,-0.00869,-0.92012,-0.12977,0.09434,-0.90608,51.2361709959805,22.4983620923013,"2015-03-31 13:37:04,068",0,0,0
0.0123,-0.01553,-0.9084,-0.13751,0.0941,-0.89321,51.2361709959805,22.4983620923013,"2015-03-31 13:37:04,146",0,0,0
0.00547,-0.00576,-0.91621,-0.12691,0.09288,-0.90265,51.2361709959805,22.4983620923013,"2015-03-31 13:37:04,246",0,0,0
0.01035,-0.02041,-0.90254,-0.1386,0.09895,-0.88662,51.2361709959805,22.4983620923013,"2015-03-31 13:37:04,346",0,0,0
-0.00625,-0.00869,-0.92402,-0.12163,0.10393,-0.91013,51.2361709959805,22.4983620923013,"2015-03-31 13:37:04,449",0,0,0
0.01035,-0.02432,-0.90742,-0.14263,0.10132,-0.89079,51.2361709959805,22.4983620923013,"2015-03-31 13:37:04,549",0,0,0
0.00742,0.00303,-0.92207,-0.12381,0.08575,-0.90972,51.2361709959805,22.4983620923013,"2015-03-31 13:37:04,648",0,0,0
0.03281,0.01377,-0.88887,-0.12937,0.05396,-0.87847,51.2361709959805,22.4983620923013,"2015-03-31 13:37:04,748",0,0,0
0.00449,-0.13564,-0.9543,-0.20529,0.16463,-0.92728,51.2361709959805,22.4983620923013,"2015-03-31 13:37:04,85",0,0,0
-0.0043,-0.14443,-0.97383,-0.18727,0.14924,-0.95492,51.2361709959805,22.4983620923013,"2015-03-31 13:37:04,95",0,0,0
0.00254,-0.10439,-0.92207,-0.15466,0.10497,-0.90895,51.2361709959805,22.4983620923013,"2015-03-31 13:37:05,052",0,0,0
0.02402,-0.08975,-0.94551,-0.157,0.07532,-0.93397,51.2361709959805,22.4983620923013,"2015-03-31 13:37:05,147",0,0,0
0.00156,-0.13271,-0.93379,-0.15954,0.11514,-0.92243,51.2361709959805,22.4983620923013,"2015-03-31 13:37:05,246",0,0,0
-0.00234,-0.13857,-0.91816,-0.1593,0.12327,-0.90645,51.2361709959805,22.4983620923013,"2015-03-31 13:37:05,346",0,0,0
0.0123,-0.18447,-0.93184,-0.20239,0.14705,-0.91647,51.2361709959805,22.4983620923013,"2015-03-31 13:37:05,447",0,0,0
-0.00137,-0.19424,-0.9377,-0.19641,0.15952,-0.92357,51.2361709959805,22.4983620923013,"2015-03-31 13:37:05,547",0,0,0
0.0123,-0.13955,-0.94453,-0.16231,0.10299,-0.93532,51.2361709959805,22.4983620923013,"2015-03-31 13:37:05,647",0,0,0
0.03965,-0.15615,-0.93086,-0.18277,0.07969,-0.92342,51.2361709959805,22.4983620923013,"2015-03-31 13:37:05,751",0,0,0
-0.0043,-0.22744,-0.95332,-0.19729,0.15482,-0.94746,51.2361709959805,22.4983620923013,"2015-03-31 13:37:05,85",0,0,0
-0.0082,-0.08877,-0.94551,-0.08881,0.04909,-0.94426,51.2361709959805,22.4983620923013,"2015-03-31 13:37:05,95",0,0,0
0.0123,-0.16592,-0.94746,-0.16229,0.08665,-0.9442,51.2361709959805,22.4983620923013,"2015-03-31 13:37:06,059",0,0,0
0.04648,-0.15225,-0.96699,-0.17244,0.04719,-0.96356,51.2361709959805,22.4983620923013,"2015-03-31 13:37:06,146",0,0,0
-0.00137,-0.23623,-0.925,-0.19562,0.14275,-0.92346,51.2361709959805,22.4983620923013,"2015-03-31 13:37:06,246",0,0,0
-0.01992,-0.22061,-0.95918,-0.17168,0.14381,-0.95861,51.2361709959805,22.4983620923013,"2015-03-31 13:37:06,346",0,0,0
-0.01016,-0.17178,-0.96797,-0.13642,0.09222,-0.96926,51.2361709959805,22.4983620923013,"2015-03-31 13:37:06,446",0,0,0
0.00547,-0.2499,-0.96895,-0.19978,0.12406,-0.97264,51.2361709959805,22.4983620923013,"2015-03-31 13:37:06,545",0,0,0
-0.04141,-0.22061,-0.92598,-0.14104,0.13703,-0.93228,51.2361709959805,22.4983620923013,"2015-03-31 13:37:06,646",0,0,0
-0.01699,-0.18838,-0.94746,-0.13339,0.09262,-0.95241,51.2361709959805,22.4983620923013,"2015-03-31 13:37:06,755",0,0,0
-0.00723,-0.1708,-0.93965,-0.13086,0.07296,-0.94325,51.2361709959805,22.4983620923013,"2015-03-31 13:37:06,851",0,0,0
-0.0502,-0.18447,-0.92598,-0.11525,0.11982,-0.93078,51.2361709959805,22.4983620923013,"2015-03-31 13:37:06,951",0,0,0
-0.00625,-0.17959,-0.95723,-0.14219,0.0876,-0.95952,51.2361356243491,22.4983835499734,"2015-03-31 13:37:07,072",0,0,0
0.06309,-0.0917,-0.90059,-0.12442,-0.01365,-0.89876,51.2361356243491,22.4983835499734,"2015-03-31 13:37:07,146",0,0,0
