Latitude,Longitude
51.2804092559963,22.546152016148
51.2799851316959,22.547576269134897
51.2799851316959,22.547576269134897
51.2799851316959,22.547576269134897
51.2794808764011,22.5476148258895
51.2792320176959,22.5480080209672
51.279200837016106,22.548058563843398
51.2787311151624,22.5486448779702
51.2779906578362,22.5486530084163
51.2785227410495,22.5506469793618
51.278730109334,22.5509645696729
51.2790491245687,22.5513568427414
51.279513398185394,22.551589272916303
51.279482468962705,22.5516445096582
51.2795056868345,22.5516780372709
